name,type,lat,lon,beginning,end
"Teacher at University of Amsterdam","Employment",52.3544122,4.9531391,"2023-09","Present"
"IT employee at Kliksafe","Employment",52.3754305,5.7644316,"2021-07","2022-02"
"Employee at Het Goed Harderwijk","Employment",52.3241636,5.6111972,"2015-01","2019-09"
"MSc Logic at University of Amsterdam","Education",52.3555033,4.931963,"2021-09","2023-08"
"BSc Artificial Intelligence at Utrecht University","Education",52.0940643,5.1217302,"2017-09","2020-12"
"Secretary at S.V. Ergo","Ancillary",52.1064124,5.1109791,"2022-09","2023-08"
"Secretary at Descartes Alumnigenootschap","Ancillary",52.0872831,5.1629691,"2021-09","2022-08"
